game_id;profile_id;cluster;player_civ;map;CASTLE_Age Display Persistent 3;CASTLE_Archery Range;CASTLE_Arrowslit Emplacement;CASTLE_Atgeir Age1;CASTLE_Atgeir Age2;CASTLE_Atgeir Age3;CASTLE_Atgeir Upgrade Age2;CASTLE_Atgeir Upgrade Age3;CASTLE_Bogmadr Age2;CASTLE_Bogmadr Age3;CASTLE_Bogmadr Upgrade Age3;CASTLE_Border Settlements;CASTLE_Cavalry Damage 1;CASTLE_Cavalry Damage 2;CASTLE_Cavalry Damage 3;CASTLE_Cavalry Survivability 1;CASTLE_Cavalry Survivability 2;CASTLE_Cavalry Survivability 3;CASTLE_Chierosiphon;CASTLE_Crossbowman 3;CASTLE_Dromon;CASTLE_Extended Lines;CASTLE_Fireship;CASTLE_Food Gather 1;CASTLE_Food2 Fertilization;CASTLE_Gold Gather 1;CASTLE_Gold Mining Camp;CASTLE_Gristmill;CASTLE_Herbal Medicine;CASTLE_Hippodrome Horseman;CASTLE_Hippodrome Riddari;CASTLE_Hippodrome Scout;CASTLE_Horseman 2;CASTLE_Horseman 3;CASTLE_House;CASTLE_Hunting Villager;CASTLE_Landmark Age2 Cisterna Basilica;CASTLE_Landmark Age2 Galata Tower;CASTLE_Lumber Camp;CASTLE_Mangonel;CASTLE_Mangonel Emplacement;CASTLE_Market;CASTLE_Melee Infantry Damage 1;CASTLE_Melee Infantry Damage 2;CASTLE_Melee Infantry Survivability 1;CASTLE_Melee Infantry Survivability 2;CASTLE_Melee Infantry Survivability 3;CASTLE_Military Academy;CASTLE_Mining2 Shaft Mining;CASTLE_Monastery;CASTLE_Monk;CASTLE_Outpost;CASTLE_Palisade Gate;CASTLE_Palisade Wall;CASTLE_Ranged Infantry Damage 1;CASTLE_Ranged Infantry Damage 2;CASTLE_Ranged Infantry Survivability 1;CASTLE_Ranged Infantry Survivability 2;CASTLE_Rhomphaia;CASTLE_Riddari Age3;CASTLE_Ruinous Blinding;CASTLE_Scorpion;CASTLE_Scout;CASTLE_Siege Engineers;CASTLE_Siege Workshop;CASTLE_Silk Bowstring;CASTLE_Stable;CASTLE_Stone Gate;CASTLE_Stone Outpost;CASTLE_Stone Wall;CASTLE_Stronghold Arrows;CASTLE_Town Center;CASTLE_Trebuchet Cw;CASTLE_Tree Fell Rate;CASTLE_Varangian 3;CASTLE_Varangian Age2;CASTLE_Varangian Arsenal;CASTLE_Varangian Stronghold;CASTLE_Varangian Upgrade Age3;CASTLE_Varangian Warcamp;CASTLE_Villager;CASTLE_Wheat Field;CASTLE_Wheelbarrow;CASTLE_Wood Gather 1;CASTLE_Wood2 Lumber Preservation;DARK_Age Display Persistent 2;DARK_Atgeir Age1;DARK_Dock;DARK_Gold Mining Camp;DARK_Gristmill;DARK_House;DARK_Hunting Villager;DARK_Landmark Age1 Grand Winery;DARK_Landmark Age1 Hippodrome Of Constantinopol;DARK_Lumber Camp;DARK_Outpost;DARK_Palisade Gate;DARK_Palisade Wall;DARK_Scout;DARK_Sheep;DARK_Town Centre Capitol;DARK_Tree Fell Rate;DARK_Varangian Stronghold;DARK_Varangian Warcamp;DARK_Villager;DARK_Wheat Field;DARK_Wheelbarrow;FEUDAL_Age Display Persistent 2;FEUDAL_Age Display Persistent 3;FEUDAL_Archery Range;FEUDAL_Arrowslit Emplacement;FEUDAL_Atgeir Age1;FEUDAL_Atgeir Age2;FEUDAL_Atgeir Upgrade Age2;FEUDAL_Bogmadr Age2;FEUDAL_Border Settlements;FEUDAL_Cavalry Damage 1;FEUDAL_Cavalry Damage 2;FEUDAL_Cavalry Survivability 1;FEUDAL_Cavalry Survivability 2;FEUDAL_Chierosiphon;FEUDAL_Dock;FEUDAL_Dromon;FEUDAL_Extended Lines;FEUDAL_Fireship;FEUDAL_Food Gather 1;FEUDAL_Gold Gather 1;FEUDAL_Gold Mining Camp;FEUDAL_Gristmill;FEUDAL_Hippodrome Horseman;FEUDAL_Hippodrome Riddari;FEUDAL_Hippodrome Scout;FEUDAL_Horseman 2;FEUDAL_House;FEUDAL_Hunting Scout;FEUDAL_Hunting Villager;FEUDAL_Landmark Age1 Grand Winery;FEUDAL_Landmark Age1 Hippodrome Of Constantinopol;FEUDAL_Landmark Age2 Cisterna Basilica;FEUDAL_Landmark Age2 Galata Tower;FEUDAL_Lumber Camp;FEUDAL_Market;FEUDAL_Melee Infantry Damage 1;FEUDAL_Melee Infantry Damage 2;FEUDAL_Melee Infantry Survivability 1;FEUDAL_Melee Infantry Survivability 2;FEUDAL_Outpost;FEUDAL_Palisade Gate;FEUDAL_Palisade Wall;FEUDAL_Ranged Infantry Damage 1;FEUDAL_Ranged Infantry Damage 2;FEUDAL_Ranged Infantry Survivability 1;FEUDAL_Scout;FEUDAL_Siege Engineers;FEUDAL_Siege Survivability 1;FEUDAL_Silk Bowstring;FEUDAL_Stable;FEUDAL_Stone Outpost;FEUDAL_Stronghold Arrows;FEUDAL_Town Center;FEUDAL_Tree Fell Rate;FEUDAL_Varangian Age2;FEUDAL_Varangian Arsenal;FEUDAL_Varangian Stronghold;FEUDAL_Varangian Warcamp;FEUDAL_Villager;FEUDAL_War Galley;FEUDAL_Wheat Field;FEUDAL_Wheelbarrow;FEUDAL_Wood Gather 1
205558892;60328;2;macedonian_dynasty;Gorge;3;12;0;0;0;0;0;0;0;3;3;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;12;0;6;0;0;0;0;0;0;0;0;0;0;0;0;6;3;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;6;0;0;0;0;0;6;0;0;0;3;15;6;0;0;6;51;0;0;3;0;0;0;3;0;0;27;0;0;0;3;0;0;0;0;0;0;0;3;0;12;3;3;3;42;30;0;3;0;6;0;0;6;6;0;0;0;0;12;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;6;12;0;66;0;6;3;3
205246997;60328;1;macedonian_dynasty;Gorge;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;4;0;0;0;4;0;0;4;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;20;0;0;0;0;0;0;0;4;4;4;0;0;0;4;0;0;0;2;10;4;0;0;4;34;0;0;2;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;4;2;0;2;6;4;0;2;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;4;0;0;28;0;4;2;0
208432945;6924135;1;macedonian_dynasty;Dry Arabia;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;6;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;8;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;20;0;0;0;0;0;0;0;4;0;4;0;0;0;4;0;0;0;2;10;4;0;0;0;36;8;0;2;0;0;0;4;16;2;16;0;0;0;0;0;0;0;0;0;0;2;0;4;4;0;0;0;10;16;0;2;4;0;0;0;4;0;0;0;0;0;0;16;100;2;0;2;0;0;0;0;4;0;2;0;2;0;4;8;4;44;0;4;2;2
208412899;6924135;1;macedonian_dynasty;Cliffside;2;0;0;0;6;0;0;0;0;0;2;0;0;0;0;2;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;12;0;0;0;0;0;0;4;0;4;0;0;0;4;0;0;0;2;10;4;0;0;0;36;8;0;2;0;0;0;2;38;2;22;2;0;0;0;0;0;0;0;0;0;2;2;0;4;0;0;0;12;16;0;2;4;0;0;4;8;0;0;0;0;0;4;0;0;2;0;2;0;2;0;0;4;0;2;0;2;0;4;16;4;50;0;0;2;2
206063089;8620498;1;macedonian_dynasty;Relic River;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;9;0;0;0;0;0;0;6;0;0;0;0;0;0;0;6;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;6;0;0;0;0;0;0;6;0;6;0;0;0;6;0;0;0;3;15;6;0;0;6;54;0;0;3;0;0;0;0;0;0;0;0;3;0;3;0;0;0;0;0;0;3;3;0;6;0;0;0;60;24;0;0;6;0;0;0;6;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;12;0;0;0;0;6;6;0;0;75;0;84;3;3
206044354;8481789;2;macedonian_dynasty;Relic River;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;3;0;0;0;6;0;6;0;0;0;0;0;0;0;0;0;0;0;0;6;3;0;0;24;0;0;0;0;0;21;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;30;6;0;3;0;0;0;6;6;0;6;0;0;0;6;0;0;30;3;15;6;0;0;6;63;0;0;3;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;6;12;0;0;0;6;0;0;0;0;0;0;0;0;12;0;96;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;27;3;0;0;0
206041983;8481789;2;macedonian_dynasty;Ocean Gateway;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;18;3;3;3;0;0;3;6;6;0;0;3;0;0;0;36;3;0;6;6;0;0;0;0;0;0;0;0;0;0;6;6;0;0;0;0;0;0;0;0;51;0;0;0;0;0;0;12;0;0;0;0;0;0;3;0;0;0;0;0;0;42;0;0;0;0;0;0;12;6;0;12;0;0;0;6;6;6;42;3;15;6;0;0;6;72;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;6;3;0;3;0;6;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;30;3;0;3;3
206090399;1251771;2;macedonian_dynasty;Cliffside;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;4;0;0;0;0;0;0;12;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;2;32;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;4;0;0;26;24;0;0;0;0;0;0;4;0;0;0;0;0;4;0;0;0;2;10;4;0;0;4;36;0;0;2;0;0;0;2;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;24;0;0;0;0
206090399;8840075;1;macedonian_dynasty;Cliffside;2;0;0;12;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;18;0;0;0;0;0;0;0;4;0;0;0;0;0;0;12;0;0;4;8;0;0;0;0;0;0;0;0;0;0;0;4;4;4;20;0;0;0;0;2;40;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;0;0;38;32;0;0;0;0;0;0;4;0;0;0;0;0;4;0;0;0;2;10;4;0;0;4;34;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;8;0;0;4;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;26;0;0;0;0
206082454;1251771;2;macedonian_dynasty;Dry Arabia;3;0;0;6;3;0;3;0;3;6;3;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;12;6;0;0;0;0;0;0;18;3;6;0;12;0;0;0;0;0;0;0;0;0;0;0;9;0;0;198;3;0;0;0;0;18;3;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;12;0;0;78;84;3;3;0;0;0;0;6;0;6;0;0;0;6;0;0;0;3;15;6;0;0;6;51;0;0;3;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;6;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;0;36;0;0;0;0
